english_sentence,hindi_sentence
Give your application an accessibility workout,अपने अनुप्रयोग को पहुंचनीयता व्यायाम का लाभ दें
Accerciser Accessibility Explorer,एक्सेर्साइसर पहुंचनीयता अन्वेषक
The default plugin layout for the bottom panel,निचले पटल के लिए डिफोल्ट प्लग-इन खाका
The default plugin layout for the top panel,ऊपरी पटल के लिए डिफोल्ट प्लग-इन खाका
A list of plugins that are disabled by default,उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है
Highlight duration,अवधि को हाइलाइट रकें
The duration of the highlight box when selecting accessible nodes,पहुंचनीय आसंधि (नोड) को चुनते समय हाइलाइट बक्से की अवधि
Highlight border color,सीमांत (बोर्डर) के रंग को हाइलाइट करें
The color and opacity of the highlight border.,हाइलाइट किए गए सीमांत का रंग और अपारदर्शिता। 
Highlight fill color,भराई के रंग को हाइलाइट करें
The color and opacity of the highlight fill.,हाइलाइट किया गया भराई का रंग और पारदर्शिता। 
API Browser,एपीआई विचरक
Browse the various methods of the current accessible,"इस समय जिसे प्राप्त किया गया हो, उसकी विभिन्न विधियों (मेथड) में विचरण करें"
Hide private attributes,निजी गुणों को छिपाएं
Method,विधि
Property,गुणधर्म
Value,मान
IPython Console,आईपाइथन कन्सोल
Interactive console for manipulating currently selected accessible,इस समय चुने गए एक्सेसेबेल से काम लेने के लिए अंतर्क्रियात्मक कन्सोल
Event monitor,घटना मानिटर
_ Monitor Events,घटनाओं को मानिटर करें (_ M) 
C _ lear Selection,चुनाव को हटाएं (C _) 
Everything,सभी
Selected application,चुने गए अनुप्रयोग
Selected accessible,चुने गए एक्सेसेबेल
Source,स्रोत
Event Monitor,घटना मानिटर
Shows events as they occur from selected types and sources,"चुने गए प्रकारों और स्रोतों से घटनाएं जैसे-जैसे घटित होती हैं, उन्हें दर्शाता है"
Highlight last event entry,अंतिम प्रविष्ट घटना को हाइलाइट करो
Start / stop event recording,घटना रेकोर्डिंग शुरू करो/रोको
Clear event log,घटना रोजनामचा मिटाओ
(no description),कोई विवरण नहीं
Description,वर्णन
Show,दिखाएं
_ Accessible,पहुंचनीय
Perform action,कार्रवाई संपन्न करें
Acti _ on,कार्रवाई (_ o) 
ID,आईडी
Toolkit,औजार बक्सा
Version,संस्करण
Ap _ plication,अनुप्रयोग
Col _ lection,संग्रह
"0, 0","0, 0"
Relative position,सापेक्ष स्थिति
Size,आकार
WIDGET,विडजेट
Layer,स्तर
MDI - Z - order,एमडीआई-जेड-क्रम
Alpha,अल्फा
Absolute position,निरपेक्ष स्थिति
Co _ mponent,घटक
Des _ ktop,डेस्कटोप
Locale:,स्थान-विशिष्टः
_ Document,प्रलेख
Hyperlink,हाइपरकड़ी
H _ ypertext,हाइपरपाठ
Position,स्थिति
Description,वर्णन
Locale,स्थान-विशिष्ट
_ Image,छवि (_ I) 
Lo _ gin Helper,प्रवेश सहायक
Select All,सभी चुनें
_ Selection,चयन (_ S) 
St _ reamable Content,प्रवाहित करनेयोग्य विषयवस्तु
Selected columns,चुने गए स्तंभ
Selected rows,चुनी गई पंक्तियां
Columns,स्तंभ
Rows,पंक्तियां
Table Information,& lt; bgt; सारणी सूचनाlt;/bgt; 
"name (x, y)","नाम (x, y) "
Header:,शीर्षकः
Extents:,विस्तारः
Row,पंक्ति
Column,स्तंभ
Selected Cell,& lt; bgt; चुनी गई कोशिकाlt;/bgt; 
_ Table,सारणी (_ T) 
Offset,ओफसेट
Include defaults,डिफोल्टों को शामिल करें
Te _ xt,पाठ (_ x) 
Current value,मौजूदा मान
Minimum increment,न्यूनतम वृद्धि
Maximum value,अधिकतम मान
Minimum value,न्यूनतम मान
Val _ ue,मान
Interface Viewer,अंतराफलक दर्शक
Allows viewing of various interface properties,अंतराफलक के विभिन्न गुणों को देखने देता है
(not implemented),(क्रियान्वित नहीं हुआ है) 
Name,नाम
URI,यूआरआई
Start,प्रारंभ
End,अंत
Too many selectable children,बहुत अधिक चयनीय शिशु हैं
Quick Select,तेज चुनाव
Plugin with various methods of selecting accessibles quickly.,प्लग-इन जिसमें हैं एक्सेसेबेलों को तेजी से चुनने के लिए कई विधियां
Inspect last focused accessible,अंतिम बार फोकस किए गए एक्सेसेबल को जांचें
Inspect accessible under mouse,"माउस के अधीन जो एक्सेसेबल है, उसे जांचें"
Native,वतनी
